device_name,resistance,capacitance,temperature,voltage,frequency,file_name
e8,800.0,1e-08,300,0.95,43815.32522488993,SUGU-e8-0.800kOhm-10nF-300K-0.950V.csv
e9,850.0,1e-08,300,1.05,23256.08011778174,ENI5-e9-0.850kOhm-10nF-300K-1.050V.csv
e5,800.0,1e-08,300,1.05,31115.18777742788,ULZ8-e5-0.800kOhm-10nF-300K-1.050V.csv
F3,800.0,1e-08,300,0.925,125368.76868914283,E6CE-F3-0.8kOhm-10nF-300K-0.925V.csv
F3,800.0,1e-08,300,0.935,127224.72186829723,SLBR-F3-0.8kOhm-10nF-300K-0.935V.csv
F1,800.0,1e-08,300,0.92,130617.39458401709,WDZB-F1-0.8kOhm-10nF-300K-0.920V.csv
F1,800.0,1e-08,300,0.92,130214.49264832071,6L7N-F1-0.8kOhm-10nF-300K-0.920V.csv
F3,800.0,1e-08,300,0.941,104784.61043571727,F67K-F3-0.8kOhm-10nF-300K-0.941V.csv
F3,800.0,1e-08,300,0.941,116746.47222548813,SIJL-F3-0.8kOhm-10nF-300K-0.941V.csv
F3,800.0,1e-08,300,0.941,127119.24613675506,AK1R-F3-0.8kOhm-10nF-300K-0.941V.csv
F3,800.0,1e-08,300,0.92,125069.61623453547,8J67-F3-0.8kOhm-10nF-300K-0.920V.csv
F1,800.0,1e-08,300,0.92,135222.43784973325,LGP2-F1-0.8kOhm-10nF-300K-0.920V.csv
